ID du formulaire,Version du formulaire,Export id,Latitude,Longitude,Période,Date de création,Date de modification,Org unit,Org unit id,Référence externe,parent1,parent2,parent3,parent4,start,end,today,deviceid,imei,phonenumber,is_type,gvq1.1,gvq1.2,gvq1.3,gvq1.4,gvq1.5,gvq1.6,gvq1.7,gvq1.8,gvq1.9,gvq1.10,gvq1.11,gvq1.12,max1,obtenu1,aff_obtenu1,gvq2.1,gvq2.2,gvq2.3,gvq2.4,max2,obtenu2,aff_obtenu2,gvq3.1,gvq3.2,gvq3.3,gvq3.4,gvq3.5,max3,obtenu3,aff_obtenu3,gvq4.1,gvq4.2,gvq4.3,gvq4.4,gvq4.5,gvq4.6,gvq4.7,gvq4.8,gvq4.9,gvq4.10,gvq4.11,gvq4.12,gvq4.13,gvq4.14,gvq4.15,gvq4.16,gvq4.17,gvq4.18,max4,obtenu4,aff_obtenu4,gvq5.1,gvq5.2,gvq5.3,gvq5.4,max5,obtenu5,aff_obtenu5,source,autre_source,gvq6.1,gvq6.2,gvq6.3,gvq6.4,gvq6.5,gvq6.6,gvq6.7,gvq6.8,gvq6.9,gvq6.10,gvq6.11,palu,gvq6.12_1,gvq6.12_note,ira,gvq6.13_1,gvq6.13_note,diarrhee,gvq6.14_1,gvq6.14_note,gvq6.15,gvq6.16,gvq6.17,gvq6.18,gvq6.12,gvq6.12_max,gvq6.1_11_max,gvq6.15_18_max,gvq6.13,gvq6.13_max,gvq6.14,gvq6.14_max,max6,obtenu6,aff_obtenu6,gvq7.1,gvq7.2,gvq7.3,gvq7.4,gvq7.5,gvq7.6,gvq7.7,gvq7.8,gvq7.9,gvq7.10,gvq7.11,gvq7.12,gvq7.13,gvq7.14,gvq7.15,gvq7.16,max7,obtenu7,aff_obtenu7,pf_add_question,rupture_methode,niv_chaine,gvq8.1,gvq8.2,gvq8.3,gvq8.4,gvq8.5,gvq8.6,gvq8.7,gvq8.8,gvq8.9,gvq8.10,gvq8.11,gvq8.12,gvq8.13,gvq8.14,gvq8.15,gvq8.16,max8,obtenu8,aff_obtenu8,gvq9.1,gvq9.2,gvq9.3,na_disp3,gvq9.4,gvq9.5,na_disp5,gvq9.6,gvq9.7,gvq9.8,gvq9.9,na_disp9,gvq9.10,gvq9.11,gvq9.12,gvq9.13,gvq9.14,na_disp14,gvq9.15,na_disp15,gvq9.16,gvq9.17,gvq9.18,na_disp18,gvq9.19,gvq9.20,na_disp20,gvq9.21,gvq9.22,na_disp22,gvq9.23,gvq9.24,gvq9.25,na_disp25,gvq9.26,gvq9.27,max9,obtenu9,aff_obtenu9,gvq10.1,gvq10.2,gvq10.3,gvq10.4,gvq10.5,gvq10.6,gvq10.7,gvq10.8,gvq10.9,gvq10.10,gvq10.11,max10,obtenu10,aff_obtenu10,gvq11.1,gvq11.2,gvq11.3,gvq11.4,gvq11.5,gvq11.6,gvq11.7,gvq11.8,gvq11.9,gvq11.10,gvq11.11,gvq11.12,gvq11.13,gvq11.14,gvq11.15,gvq11.16,gvq11.17,gvq11.18,gvq11.19,gvq11.20,gvq11.21,gvq11.22,gvq11.23,gvq11.24,gvq11.25,max11,obtenu11,aff_obtenu11,gvq12.1,gvq12.2,gvq12.3,gvq12.4,gvq12.5,gvq12.6,gvq12.7,gvq12.8,gvq12.9,gvq12.10,gvq12.11,gvq12.12,gvq12.13,max12,obtenu12,aff_obtenu12,note_labo_na,gvq13.1,gvq13.2,gvq13.3,gvq13.4,gvq13.5,gvq13.6,gvq13.7,max13,obtenu13,aff_obtenu13,note_salle_hosp_na_dispensaire,note_salle_hosp_na_csl,gvq14.1,gvq14.2,gvq14.3,gvq14.4,gvq14.5,gvq14.6,gvq14.7,gvq14.8,max14,obtenu14,aff_obtenu14,gvq15.1,gvq15.2,gvq15.3,gvq15.4,gvq15.5,gvq15.6,gvq15.7,gvq15.8,gvq15.9,gvq15.10,gvq15.11,gvq15.12,gvq15.13,gvq15.14,gvq15.15,gvq15.16,gvq15.17,gvq15.18,gvq15.19,gvq15.20,max15,obtenu15,aff_obtenu15,note_maternite_na_disp,note_maternite_na_csl,gvq16.1,gvq16.2,gvq16.3,gvq16.4,gvq16.5,max16,obtenu16,aff_obtenu16,obtain1,obtain2,obtain3,obtain4,obtain5,obtain6,obtain7,obtain8,obtain9,obtain10,obtain11,obtain12,obtain12_na,obtain13,obtain13_na,obtain14,obtain15,obtain15_na,obtain16,total_obtenu,total_max,score_percu,affiche_score,instanceID
290045,2022051304,rsXyfupcEck,,,2022Q1,2022-05-13 07:22:03,2022-05-17 07:20:34,Disp de Loscacahos,966016,XNCQAzFXJ63,1ere-Acajou-Brule,Cerca-La-Source,UAS-Cerca-La-Source,Centre,2022-05-13T09:22:31.378+02:00,2022-05-17T09:20:33.692+02:00,2022-05-13,enketo-iaso.bluesquare.org:XIP2H2U4NnAK7SnQ,enketo-iaso.bluesquare.org:XIP2H2U4NnAK7SnQ,phonenumber not found,1,0,0,0,0,2,0,0,2,2,2,2,4,21,14,,0,0,0,2,7,2,,1,2,3,1,3,10,10,,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,22,22,,5,5,6,3,19,19,,5,,2,1,1,2,1,1,2,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,14,4,1,1,1,1,21,21,,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,25,25,,,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,20,20,,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,,1,,1,1,0,,1,1,,0,1,,0,1,0,,3,1,29,25,,1,1,1,1,2,2,1,0,0,0,1,14,10,,1,0,2,0,0,1,1,1,1,0,0,2,0,1,0,1,0,0,1,2,1,2,2,0,1,34,20,,3,2,0,2,2,2,0,2,2,3,1,2,2,27,23,,,1,0,2,1,1,2,2,10,9,,,,1,1,2,1,1,1,1,0,10,8,,1,0,1,1,2,1,1,0,2,0,1,0,2,1,1,1,0,1,1,1,24,18,,,,1,0,1,1,1,5,4,,,,,,,,,,,,,,,,,,,,,250,298,83.89,,uuid:70a64680-5061-4c8e-a19e-e7cff94b6fa7
544123,2022051304,hcjJJ15Hndb,,,2022Q3,2022-09-28 19:32:45,2022-09-28 19:47:22,Disp de Loscacahos,966016,XNCQAzFXJ63,1ere-Acajou-Brule,Cerca-La-Source,UAS-Cerca-La-Source,Centre,2022-09-28T15:36:53.932-04:00,2022-09-28T15:50:24.490-04:00,2022-09-27,enketo-iaso.bluesquare.org:XZudoVQXHuLNbcKo,enketo-iaso.bluesquare.org:XZudoVQXHuLNbcKo,phonenumber not found,2,1,0,1,1,0,0,0,0,0,0,2,4,21,9,,2,1,0,2,7,5,,1,2,3,1,3,10,10,,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,1,1,1,22,12,,5,0,0,3,19,8,,4,,2,1,1,0,0,0,0,1,1,0,1,0,,,1,1,,0,,,0,1,1,0,0,0,14,4,1,1,0,0,19,10,,2,2,0,0,0,1,0,0,0,0,0,0,2,2,1,0,25,10,,,1,1,1,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,20,7,,1,1,0,,0,0,,0,0,1,0,,1,1,1,0,0,,0,,0,0,0,,0,0,,1,0,,0,0,1,,3,0,29,11,,1,1,1,1,2,2,0,0,0,1,0,14,9,,1,1,0,0,2,0,1,0,0,0,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0,34,13,,3,2,2,0,0,0,0,0,0,0,1,2,0,27,10,,,,,,,,,,,,,,,1,1,2,0,0,0,1,2,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,5,2,,,,,,,,,,,,,,,,,,,,,123,262,46.95,,uuid:8377843d-cd95-4ba3-ade2-53d363370522
546675,2022051304,om0RupMa1uM,,,2022Q1,2022-10-03 18:39:20,2022-10-03 18:39:46,Dispensaire Gresseau,966221,aTL8EqfHMx7,1ere-Deluge,Saint-Marc,UAS-Saint-Marc,Artibonite,2022-10-03T13:35:53.942-04:00,2022-10-03T14:39:19.816-04:00,2022-10-03,863959030584463,863959030584463,,2,0,2,1,1,2,1,1,2,2,2,2,4,21,20,,2,1,2,2,7,7,,0,0,0,0,3,10,3,,1,1,2,2,1,2,1,1,0,1,1,2,1,1,1,1,1,1,22,21,,0,0,6,0,19,6,,1,,2,1,1,2,1,1,2,1,1,1,1,1,1,,0,,,1,1,,1,1,1,1,1,1,14,4,0,0,1,1,20,20,,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,25,25,,,2,2,0,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,20,19,,0,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,,1,1,,1,1,,1,0,0,,3,1,29,26,,0,1,1,1,2,2,1,1,2,1,1,14,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,34,11,,3,2,2,2,2,2,2,2,2,3,1,2,2,27,27,,,,,,,,,,,,,,,0,0,2,1,1,1,1,2,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,5,,,,,,,,,,,,,,,,,,,,,211,263,80.23,,uuid:802d0976-94b5-48ea-95f8-9623fe524503
546677,2022051304,iChLPhCWSSK,,,2022Q3,2022-10-03 18:26:52,2022-10-03 18:44:31,CS de Savanette,965943,yoRsITtICMV,2eme-La-Haye,Savanette,UAS-Lascahobas,Centre,2022-10-03T14:21:32.664-04:00,2022-10-03T14:30:53.464-04:00,2022-10-03,863959030789633,863959030789633,,1,0,0,0,0,0,1,1,2,2,2,2,4,21,14,,2,0,2,2,7,6,,1,2,3,1,3,10,10,,0,1,2,2,0,2,1,0,0,0,1,2,1,1,0,1,1,1,22,16,,5,0,0,0,19,5,,1,,2,0,1,2,1,1,2,1,0,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,14,4,1,1,1,1,21,19,,2,0,0,1,1,1,1,2,2,2,0,1,2,2,1,1,25,19,,,1,2,1,0,1,0,2,0,2,0,1,0,2,0,1,0,1,0,20,11,,1,1,0,,0,0,,0,0,0,0,,0,0,1,0,0,,0,,0,1,0,,0,1,,1,0,,0,0,0,,0,0,29,6,,1,1,0,1,2,2,1,1,2,1,0,14,12,,1,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,34,8,,3,0,0,0,2,2,0,0,0,0,0,0,2,27,9,,,1,1,0,1,1,0,0,10,4,,,,1,1,2,0,0,0,0,0,10,4,,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,8,,,,1,1,1,1,0,5,4,,,,,,,,,,,,,,,,,,,,,155,298,52.01,,uuid:0118e1d8-052c-4dbc-ac35-5d407e25ddde
547328,2022051304,H8dCqZXyOPS,,,2022Q3,2022-10-04 13:46:33,2022-10-04 14:37:19,Dispensaire Ossenande,965985,kJZ2zD211hD,3eme-Hatty,Maissade,UAS-Hinche,Centre,2022-10-04T09:22:36.594-04:00,2022-10-04T10:27:06.442-04:00,2022-10-04,863959030789633,863959030789633,,3,1,2,1,0,2,1,1,2,2,2,0,0,21,14,,2,1,2,2,7,7,,1,2,3,1,3,10,10,,0,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,22,21,,5,5,6,3,19,19,,2,,2,1,1,0,1,1,2,1,1,1,1,0,,,1,1,,1,1,,1,1,1,1,0,0,14,4,1,1,1,1,20,18,,2,2,2,1,1,1,1,2,2,2,2,1,2,2,0,1,25,24,,,4,1,1,1,0,0,2,1,2,1,1,1,0,1,1,0,0,2,20,14,,1,1,,,1,,,1,1,1,,,1,1,1,1,,,,,1,1,,,1,,,1,,,1,1,,,0,0,20,16,,0,0,0,0,0,0,0,0,0,0,0,14,0,,1,1,2,0,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,0,34,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1,1,0,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,5,,,,,,,,,,,,,,,,,,,,,186,227,81.94,,uuid:89abd82b-d4e2-45f2-a5f0-f87173db4008
546669,2022051304,RbNvNnX1GaT,,,2022Q1,2022-10-03 17:47:31,2022-10-04 18:47:51,CS St Pierre,966104,A4VAbVXFBr8,2eme-Desdunes,Desdunes,UAS-Dessalines,Artibonite,2022-10-03T12:40:05.968-05:00,2022-10-04T12:30:53.540-04:00,2022-10-03,863959030787645,863959030787645,phonenumber not found,1,1,2,0,0,2,1,1,2,2,0,0,4,21,15,,2,1,2,0,7,5,,1,2,3,1,3,10,10,,0,1,2,2,1,2,1,0,0,0,1,2,1,1,1,1,1,1,22,18,,5,5,6,3,19,19,,6,,2,1,0,2,1,1,0,1,1,1,1,1,1,,1,1,,1,0,,1,1,1,1,1,1,14,4,1,1,0,1,21,17,,2,2,2,1,1,1,1,2,2,2,2,1,2,0,0,1,25,22,,,1,1,1,1,1,1,0,0,2,1,1,1,2,1,1,1,0,2,20,16,,1,1,1,,1,1,,1,1,1,1,,1,1,0,1,1,,1,,1,1,1,,1,1,,0,1,,1,1,1,,3,1,29,27,,1,1,1,1,2,2,1,1,2,1,1,14,14,,0,1,2,2,2,1,1,1,1,2,0,0,2,1,1,1,1,1,1,0,1,2,2,1,1,34,28,,3,2,2,2,2,2,2,2,2,3,1,2,2,27,27,,,1,1,2,1,1,2,2,10,10,,,,1,0,2,1,1,1,1,2,10,9,,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,24,24,,,,1,1,1,1,1,5,5,,,,,,,,,,,,,,,,,,,,,266,298,89.26,,uuid:539846f9-ae35-43fe-b579-8462cc555e36
547362,2022051304,Fn87Hc5PBKS,,,2022Q2,2022-10-04 16:48:57,2022-10-04 18:48:57,CS St Pierre,966104,A4VAbVXFBr8,2eme-Desdunes,Desdunes,UAS-Dessalines,Artibonite,2022-10-04T12:49:52.373-04:00,2022-10-04T12:54:19.213-04:00,2022-10-03,enketo-iaso.bluesquare.org:tTvm8Px3geWL8wLV,enketo-iaso.bluesquare.org:tTvm8Px3geWL8wLV,phonenumber not found,3,0,2,1,1,2,1,1,2,2,2,2,0,21,16,,2,1,2,0,7,5,,1,2,0,1,3,10,7,,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,22,22,,0,5,6,3,19,14,,1,,2,1,1,2,0,1,2,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,14,4,1,1,1,1,21,20,,2,2,2,1,1,1,1,0,2,2,2,1,2,2,1,1,25,23,,,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,1,2,20,17,,1,1,,,1,,,1,1,1,,,0,1,1,1,,,,,1,1,,,1,,,1,,,1,1,,,3,1,20,19,,0,0,0,1,2,2,1,1,2,1,1,14,11,,1,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,0,1,1,34,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,2,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,5,4,,,,,,,,,,,,,,,,,,,,,200,228,87.72,,uuid:9b1df76f-0136-4ba8-8394-8f245e470a9e
546682,2022051304,Gdo8llKI1vt,,,2022Q3,2022-10-03 18:46:03,2022-10-05 16:15:38,Disp de Loscacahos,966016,XNCQAzFXJ63,1ere-Acajou-Brule,Cerca-La-Source,UAS-Cerca-La-Source,Centre,2022-10-03T13:43:17.986-04:00,2022-10-03T14:46:28.398-04:00,2022-10-03,863959030324647,863959030324647,,2,1,0,1,1,0,0,1,0,2,0,2,4,21,12,,2,1,2,2,7,7,,0,2,3,0,3,10,8,,1,1,2,2,1,0,1,1,1,1,1,2,1,0,1,1,1,1,22,19,,5,5,6,3,19,19,,5,,2,0,0,2,1,1,2,0,1,0,0,1,1,,1,1,,1,1,,1,1,1,0,1,1,14,4,1,1,1,1,21,15,,0,2,2,1,1,1,1,2,0,2,2,1,2,0,1,1,25,19,,,1,1,1,1,1,1,0,0,2,1,1,1,2,0,0,1,1,0,20,13,,1,1,1,,1,1,,1,1,0,0,,1,1,1,1,1,,1,,1,1,1,,1,0,,1,1,,1,1,1,,0,1,29,23,,1,0,1,1,2,2,0,1,2,0,1,14,11,,1,1,2,2,0,1,1,1,0,0,1,2,2,1,1,0,1,1,1,0,1,2,0,1,1,34,24,,3,0,2,2,2,2,2,2,0,3,1,2,2,27,23,,,,,,,,,,,,,,,1,0,2,1,1,1,1,2,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,5,4,,,,,,,,,,,,,,,,,,,,,206,264,78.03,,uuid:76aaceb0-377c-408d-b366-05250a8761ba
546678,2022051304,roplcs1lXxc,,,2022Q3,2022-10-03 17:38:16,2022-10-05 16:43:53,Centre de Sante de Lascahobas,965936,KiY1InqMVdh,2eme-Juampas,Lascahobas,UAS-Lascahobas,Centre,2022-10-03T13:22:18.361-04:00,2022-10-05T16:43:52.641-00:00,2022-10-03,863959030789633,863959030789633,phonenumber not found,3,1,2,1,1,2,1,1,2,2,2,2,4,21,21,,2,1,2,2,7,7,,0,0,0,1,3,10,4,,1,1,2,2,1,2,1,1,1,0,1,2,1,0,0,0,0,0,22,16,,5,0,6,3,19,14,,2,,2,0,0,0,1,0,2,0,1,0,0,1,0,,1,0,,1,0,,0,0,0,0,0,1,14,4,0,1,0,1,21,6,,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,25,6,,,2,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,20,7,,1,1,,,1,,,1,1,1,,,1,1,1,1,,,,,0,1,,,1,,,1,,,1,1,,,3,1,20,19,,1,1,1,1,0,0,0,0,0,1,0,14,5,,1,0,2,2,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,0,0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,5,3,,,,,,,,,,,,,,,,,,,,,126,228,55.26,,uuid:7c9effa1-24fb-45b6-bcfa-4330caf0433a
548008,2022051304,H9YAUzpaIK5,,,2022Q1,2022-10-04 13:34:08,2022-10-05 22:33:31,CS St Pierre,966104,A4VAbVXFBr8,2eme-Desdunes,Desdunes,UAS-Dessalines,Artibonite,2022-10-03T14:45:13.449-04:00,2022-10-05T10:01:12.346-04:00,2022-10-03,863959030296415,863959030296415,,1,1,2,1,1,2,1,1,2,2,2,2,4,21,21,,2,1,2,2,7,7,,1,2,3,1,3,10,10,,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,22,8,,5,5,6,3,19,19,,1,,2,1,1,0,1,1,0,0,0,0,1,0,,,0,,,1,1,,0,0,0,0,0,0,14,4,0,0,1,1,19,8,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,,,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,4,,1,0,1,,1,1,,1,1,1,0,,1,1,1,1,1,,1,,1,1,1,,1,1,,1,1,,0,0,0,,0,0,29,20,,1,1,1,1,2,2,1,1,0,0,0,14,10,,1,0,0,2,2,0,1,1,0,0,0,0,0,1,1,1,0,1,1,2,1,2,0,0,1,34,18,,3,2,2,2,2,0,0,0,0,0,0,0,0,27,11,,,1,1,2,1,1,0,0,10,6,,,,1,1,0,1,0,0,0,0,10,3,,1,1,0,1,2,0,1,0,2,1,0,2,0,0,0,1,0,0,1,0,24,13,,,,1,1,1,1,1,5,5,,,,,,,,,,,,,,,,,,,,,165,296,55.74,,uuid:163da635-64f4-4407-8dd3-437c42c62193
